,中文名,景点排名,攻略数量,评论数量,评分,价格
1511,承天寺,9,3.0,137.0,4.7,5.0
1512,惠安女民俗风情园,6,1.0,25.0,4.2,30.0
1514,五店市传统街区,1,1.0,505.0,4.6,278.0
1517,九仙山风景区,13,1.0,100.0,4.3,69.0
1519,安溪桫椤谷风景区,10,0.0,14.0,4.4,138.0
1521,国宝云龙谷,12,0.0,14.0,4.4,43.0
1523,牛姆林生态旅游区,21,1.0,142.0,4.0,50.0
1524,清水岩,3,5.0,157.0,4.6,0.8
1528,岱仙瀑布,1,2.0,121.0,4.6,275.0
1529,泉州石狮·海洋世界,1,1.0,19.0,4.0,110.0
1530,石龙谷森林游乐园,116,1.0,57.0,4.5,50.0
1532,仙公山,28,1.0,79.0,4.5,14.0
1534,石狮黄金海岸,121,2.0,42.0,4.6,110.0
1535,天后宫,13,12.0,204.0,4.5,268.0
1537,石狮世茂摩天城摩天轮,2,0.0,25.0,4.7,50.0
1538,泉州海丝野生动物世界,44,1.0,89.0,4.4,99.8
1551,泉州府文庙,10,9.0,157.0,4.6,7.0
1559,海丝电影小镇,12,0.0,59.0,4.5,49.9
1567,永宁老街,66,6.0,64.0,4.4,1599.0
1569,泉州市舶司遗址,1,1.0,29.0,3.6,29.9
1585,樟脚村,17,10.0,188.0,4.5,268.0
1634,李贽故居,24,2.0,17.0,4.1,63.4
1638,东禅少林寺,3,2.0,21.0,4.4,100.0
2460,东山岛,3,22.0,680.0,4.6,41.8
2462,南门湾,2,8.0,64.0,4.5,128.0
2463,火山岛旅游休闲度假区,26,2.0,685.0,4.3,198.0
2464,漳州古城,2,5.0,79.0,4.6,519.0
2467,田螺坑土楼群,5,22.0,1918.0,4.5,85.0
2468,云水谣古镇,21,5.0,4027.0,4.5,85.0
2469,镇海角,4,9.0,168.0,4.1,198.0
2470,十里蓝山,3,1.0,213.0,4.0,64.0
2473,马銮湾,5,6.0,277.0,4.4,228.0
2474,塔下村,6,16.0,216.0,4.5,426.0
2477,东门屿,1,4.0,174.0,4.5,100.0
2481,埭美村,8,23.0,791.0,4.5,278.0
2484,水云涧,9,16.0,147.0,4.5,426.0
2485,裕昌楼,4,7.0,648.0,4.4,41.8
2487,顺裕楼,7,2.0,57.0,4.3,65.0
2488,龙美湾（抽象画廊）,2,25.0,984.0,4.5,278.0
2494,赵家堡,7,3.0,193.0,4.6,6.0
2501,张氏家庙,1,2.0,22.0,4.3,198.0
2530,海西双鱼岛,5,1.0,46.0,4.3,49.8
2538,花博园,26,1.0,2.0,4.0,399.0
2539,关帝庙,22,1.0,50.0,4.5,23.0
2546,百花村,29,1.0,35.0,4.7,9.0
2548,陈元光墓,15,1.0,39.0,3.8,64.0
3180,永定土楼,15,7.0,759.0,4.5,68.0
3181,长汀古城,3,7.0,184.0,4.5,0.0
3182,连城冠豸山,11,2.0,710.0,4.6,114.5
3185,培田古民居,5,3.0,238.0,4.4,42.9
3186,长汀红色旧址群,5,0.0,58.0,4.7,0.0
3187,洪坑土楼民俗文化村,10,5.0,249.0,4.5,0.0
3188,龙硿洞,13,1.0,71.0,4.4,25.0
3189,古田会议会址,15,0.0,4.0,4.7,0.0
3191,古田会议旧址景区,16,1.0,136.0,4.6,1388.0
3192,丁屋岭,1,4.0,16.0,4.2,0.0
3195,福建省苏维埃政府旧址,4,1.0,0.0,5.0,0.0
3196,梁野山,4,1.0,188.0,4.5,52.2
3197,冠豸山国家地质公园,1,0.0,0.0,4.7,0.0
3201,振成楼,2,5.0,67.0,4.4,68.0
3202,振福楼,2,3.0,6.0,4.0,89.0
3203,世泽楼,12,2.0,35.0,4.5,0.0
3205,云顶观光茶园,25,1.0,1.0,5.0,0.0
3210,生命之门,13,0.0,0.0,5.0,0.0
3217,南溪土楼群,7,0.0,295.0,4.4,68.0
3218,永定龙湖景区,23,1.0,1.0,0.0,0.0
3219,店头街,28,3.0,5.0,4.0,0.0
3220,如升楼,11,3.0,30.0,4.4,0.0
3221,石门湖,14,2.0,204.0,4.6,114.5
3222,永福花乡,1,2.0,11.0,5.0,0.0
3223,高北土楼群,17,4.0,1084.0,4.6,48.0
3224,梅花山,15,2.0,1.0,5.0,1388.0
3225,古田镇,16,2.0,4.0,5.0,0.0
3226,紫金矿业,20,1.0,1.0,3.0,0.0
3227,中川古村落,21,1.0,33.0,4.2,30.0
3228,福音医院,18,1.0,0.0,0.0,0.0
3229,临江楼,1,1.0,9.0,4.4,0.0
3232,西陂天后宫,28,1.0,4.0,5.0,0.0
3234,永定土楼自然博物馆,29,4.0,50.0,4.5,0.0
3235,李氏大宗祠,21,3.0,9.0,4.8,0.0
3236,苏维埃政府旧址,30,1.0,1.0,5.0,0.0
3237,龙岩东肖森林公园,31,1.0,10.0,4.5,23.0
3238,容膝居,32,0.0,0.0,5.0,0.0
3490,四堡书坊建筑,6,0.0,0.0,5.0,0.0
3495,千百卉亲子种植体验,33,0.0,1.0,5.0,0.0
3496,和兴楼,2,0.0,0.0,4.5,0.0
3497,存耕堂,22,0.0,3.0,4.7,0.0
3498,集庆楼,3,1.0,10.0,4.2,0.0
3499,中山路步行街,37,3.0,106.0,4.3,0.0
3500,宝兴茗店广场,43,0.0,24.0,4.3,0.0
3501,红尖山,18,2.0,5.0,4.5,0.0
3502,连南区革命委员全旧址,38,0.0,2.0,4.5,0.0
3503,芷溪古村,8,1.0,12.0,3.1,0.0
3504,中华山,9,0.0,1.0,5.0,0.0
3506,龙池书院,12,0.0,4.0,4.8,0.0
3509,梁山书院,42,0.0,6.0,5.0,0.0
3510,江山睡美人,8,0.0,13.0,4.3,0.0
3511,中国四堡雕版印刷展览馆,45,0.0,7.0,3.8,0.0
