sid,uid,score
708824,183517347,0
708824,175280485,0
708824,170207618,0
5475392,121614100,5
5475392,174854441,3
5475392,154699710,5
5475392,162932398,4
5475392,176635300,5
5475392,5797860,3
5475392,126880782,5
5475392,150827135,4
5475392,302699588,5
5475392,136357258,4
713994,150277566,5
713994,174854441,4
713994,155760450,4
713994,156376732,5
713994,147915255,4
713994,5797860,3
713994,175817971,0
713994,183992375,0
713994,301938179,0
713994,406391909,0
710997,156485277,3
710997,174827223,5
710997,169322219,4
710997,289993659,4
710997,151437970,4
710997,1796208,5
710997,179861796,5
710997,141677698,5
710997,227145920,0
710997,141677698,5
722941,168831392,3
722941,1077169,5
722941,153945299,5
722941,126880782,5
722941,1844660,4
722941,8214312,4
722941,169671320,3
722941,125608652,4
722941,143569417,4
722941,144484526,3
706725,222423774,5
706725,171312053,4
706725,184175534,4
706725,302773,4
706725,143569417,5
706725,189570017,4
706725,8214312,4
706725,174827223,5
706725,235320226,0
706725,278629378,0
705231,173915698,5
705231,274710618,5
705231,153215150,5
705231,147108641,5
705231,1077169,5
705231,199618056,5
705231,128655392,5
705231,134377032,5
705231,195699805,0
705231,310386412,0
715692,163925611,5
715692,126335868,5
715692,4735562,5
715692,189570017,4
715692,190379613,4
715692,9173620,0
715692,6015630,0
715692,1524105,0
715692,192814973,0
715692,150803946,0
705344,137615750,5
705344,121614100,4
705344,140455282,0
705344,184290046,0
705344,195690618,0
705344,192640719,0
705344,267885549,0
705344,254251328,0
705344,1856262,0
705344,164170770,0
7467925,156433008,5
7467925,1796208,4
7467925,250757144,0
7467925,134441022,0
7467925,191921960,0
7467925,169315107,0
7467925,10857918,0
7467925,146655170,0
7467925,149351380,0
7467925,1651924,0
704330,204705017,5
704330,163660012,4
704330,175489504,5
704330,288939384,5
704330,181572820,5
704330,121614100,4
704330,174854441,4
704330,138368544,5
704330,143375360,5
704330,167526487,5
5855692,138368544,4
5855692,137615750,5
5855692,190379613,4
5855692,131537878,4
5855692,134377032,4
5855692,182822063,0
5855692,265768917,0
5855692,174088940,0
5855692,181669346,0
5855692,152364123,0
712269,4779308,5
712269,121614100,5
712269,4779308,5
712269,246408823,5
712269,165540096,3
712269,151001858,4
712269,169685948,5
712269,189570017,3
