景点名称,攻略数量,评分,景区介绍,景点排名,经度,纬度,评论数量,旅游率
中国药科大学China Pharmaceutical University,2,90.0,,1206.0,118.7852027342,32.0783538818,33,0.0
石象路Shixiang Road,3,96.0,,1215.0,118.847315,32.05312,39,0.0
桃花岛风景区Taohua Island Scenic Area(Peach Blossom Island),1,80.0,赏花郊游，踏青徒步，畅游自然。,78.0,118.646239,32.560202,13,0.0
梅花山Meihuashan,13,92.0,欣赏种类、数量繁多的梅花，梅花过后看樱花，是春季摄影胜地。,43.0,118.845683,32.05678,788,0.03
情侣园Lovers' Garden,1,92.0,,75.0,118.816478,32.076014,146,0.01
大钟亭,1,0.0,鼓楼东北方向不远处是大钟亭，亭中悬洪武一二十一年（1388年）铸造的紫铜鸣钟一只。,154.0,118.7902889482,32.0665425807,3,0.01
郑和纪念馆Zhenghe Memorial Hall,1,90.0,,234.0,118.801398,32.037255,37,0.0
李香君故居Former Residence of Li Xiangjun,3,86.0,,235.0,118.795072,32.024936,233,0.01
雨花阁,1,80.0,"清""金陵四十八景""之一的雨花阁，复建于1997年，座落在古雨花台遗址上。南北朝时期佛教盛行，尤其是城南雨花台一带寺庙林立。诗句""南朝四百八十寺，多少楼台烟雨中""就反映了当年的景象。相传梁武帝时期，有位高僧云光法师在此岗设坛讲经说法，僧侣50…",237.0,118.7873019434,32.0094868096,3,0.0
灵谷塔Linggu Pagoda,3,88.0,,239.0,118.873795,32.06413,123,0.0
静海寺Jinghai Temple,1,86.0,《南京条约》“议约”地，是中国近代遭受外国列强侵略的历史见证人。,252.0,118.751233,32.097951,80,0.0
南京龙山上庄园度假村Nanjing Long Shan Shang Manor Resort,1,80.0,,126.0,118.721702,31.782184,20,0.0
竹林,2,0.0,"竹林，是目前南京市区最大的连片竹林。请看这万株翠竹，端直挺秀，疏密得体；林中一片静谧，风雅宜人，疏风醉影。此刻竹径小路就是无声的导游，请各位沿路欣赏两边的竹姿，近显远隐，层出不穷，配以小亭小景，真可谓""竹径条条通幽处，游人处处画中…",134.0,118.7727847498,32.0761332367,0,0.0
江南第二泉,1,60.0,"雨花台风景区的著名景点""江南第二泉""，她原名雨花泉，泉有二孔，水出地面1米，纤湮缕浸，清洌甘美，色味俱绝，南宋著名爱国主义诗人陆游到四川任职时途经建康，登雨花台游览，用泉水沏茶，备加赞赏，品为二泉，位列金陵名泉之首。明代赵谦为二泉题…",255.0,118.7867554388,32.005925918,2,0.0
廖仲恺何香凝墓Liaozhongkai He Xiangningmu,2,88.0,,258.0,118.836153,32.062671,19,0.0
木末亭,1,60.0,"木末亭
清""金陵四十八景""的又一重要景观""木末亭""，位于雨花台东岗之巅，始建于明代。""木末""二字，最早见于屈原的《九歌？湘君》，意为高于树梢之上。以此名亭，谓亭秀出林木也；在雨花台建木末亭，还有另外一层含义，因为在木末亭畔，有泰伯祠、有…",260.0,118.7867390145,32.005829459,1,0.0
太平天国壁画艺术馆Paintings of the Taiping Heavenly Kingdom,1,84.0,,262.0,118.775443,32.045411,21,0.0
方孝孺墓Fang Xiaorumu,2,90.0,,264.0,118.789496,32.009222,21,0.0
藏经阁,2,100.0,又名孙中山纪念馆。位于中山陵与灵谷寺之间的茫茫林海中。是中国佛教协会于1934年11月发起募建的，次年10月竣工。此楼专为收藏孙中山先生的物品而建，包括主楼、僧房和碑廊三部分。主楼为宫殿式建筑，外观又像一座寺院楼，共三层，底层为讲经堂，并…,265.0,118.8667030412,32.0661782554,0,0.0
渡江胜利纪念碑River Crossing Campaign Victory Monument,1,86.0,,153.0,118.7490206798,32.0926055908,59,0.0
菊花台九烈士墓,1,80.0,在雨花台西边，经安德门再走五里，便是菊花台。菊花台西侧有九烈士墓，埋葬着九位爱国志士。1941年，日本制造了“珍珠港事件”。1942年4月17日，日军占领了菲律宾。日本侵略者对中国驻马尼拉总领事馆人员进行诱降、逼降；要他们“改弦易辙”为伪政…,287.0,118.7677150195,31.9958533729,1,0.0
曦园孔雀园,2,60.0,,288.0,118.788699,32.007629,1,0.0
烈士纪念碑,2,100.0,,289.0,118.785945,32.007484,1,0.0
怡苑盆景园,2,60.0,"怡苑盆景园
怡苑建于80年代初期，占地2公顷，由东南大学潘谷西教授设计，是具有江南古典园林风格的园中园。迎门而立的是灵动的假山，各色花木，布于其前。两旁是对称的花房，山后是水池。2亩大的池内，鱼翔浅底、鸳鸯戏水、野鸭呱呱。苑内圈养了蓝…",290.0,118.786731566,32.0059583936,1,0.0
桂子山石柱林Guizi Mountain Stonehenge,1,82.0,,142.0,118.9424396443,32.4654589106,48,0.0
宏觉寺Hongjue Temple,1,96.0,,292.0,118.75166,31.890931,10,0.0
江心洲民俗村Jiangxinzhou Folk Custom Village,1,90.0,,293.0,118.7038712305,32.0116577148,17,0.0
王导谢安纪念馆Wangdaoxie'an Memorial Hall,3,84.0,,294.0,118.796039,32.024977,121,0.0
傅抱石纪念馆Fubaoshi Memorial Hall,3,90.0,,295.0,118.77477,32.061042,23,0.0
知名烈士墓区,0,0.0,"知名烈士墓区
雨花台知名烈士墓区，它位于雨花台主峰东南方，建于1983年，面积4240平方米。这里掩埋了1926年至1949年牺牲在雨花台及南京地区的已知姓名的17位烈士的灵柩。请看墓道两旁的龙爪槐（又名蟠槐、倒槐），多么像身披甲胄，手持长矛，守护…",296.0,118.786691315,32.0059052397,0,0.0
三烈士墓,0,80.0,"三烈士墓
位于雨花台区望江矶夏家凹，是省级重点文物保护单位，安葬着抗日战争时期""皖南事迹""中牺牲的中共中央东南分局书记、中央军委新四军分会书记、新四军副军长项英，新四军政治部主任袁国平，副参谋长周子昆的陵寝。1955年经中央军委批准，华…",297.0,118.7772069509,31.9924896251,1,0.0
太平天国天堡城遗址Taipingtianguo Tianbaocheng Ruins,1,60.0,,298.0,118.8354928163,32.0703436315,2,0.0
幽栖寺Youqi Temple,1,90.0,,299.0,118.750198,31.904998,3,0.0
园门休闲广场,1,60.0,"园门休闲广场
这里是供游人休憩的圆门休闲广场，每年的春季花展、秋季菊花展，这里都是主展区。广场内还有""大象母子""、""风车""、""滑板""等游乐设施，供游人玩耍。",300.0,118.7867289563,32.0060489381,1,0.0
二忠祠Erzhong Temple,1,84.0,,301.0,118.7908902025,32.0058860779,16,0.0
梅岗与梅廊,1,80.0,"梅岗与梅廊
东晋梅岗，又称梅岭岗，东晋初期，胡人压境，都城南迁，豫章太守梅赜带兵抵抗，屯营于此。为了纪念梅赜将军的高风亮节，后人在岗上建梅将军庙，广植梅花，遂称为梅岗。到明清时，这里已形成梅海，与钟山脚下的梅林成为南京东郊、南郊两…",303.0,118.7867728096,32.0060095778,1,0.0
林散之纪念馆Lin Sanzhi Memorial Hall,1,92.0,,304.0,118.625159,32.061555,17,0.0
汤山翠谷现代农业示范园,0,70.0,春有草莓、樱桃；夏有枇杷、葡萄；秋有板栗、猕猴桃；冬有埃及糖橙,84.0,118.819984,32.229123,2,0.0
张家上,0,0.0,,,118.684241,31.789784,0,0.0
玄武湖湖史馆,0,0.0,,,118.800748,32.084202,0,0.0
下关西火车主题街区,0,0.0,,,118.750121,32.10902,0,0.0
越界梦幻城,0,0.0,,,118.7793250348,32.0433570946,0,0.0
内桥,0,0.0,,,118.792778,32.034808,0,0.0
云水涧,0,0.0,,,118.6724929978,31.8473674884,0,0.0
颐和路,0,0.0,,,118.773583,32.06959,0,0.0
建邺路滨河游园,0,0.0,,,118.789577,32.035963,0,0.0
江宁滨江公园,0,100.0,,,118.572681,31.871769,0,0.0
梅钢工业文化旅游区,0,100.0,,,118.620447,31.891498,0,0.0
马蹄稍水库,0,0.0,,,119.0184995896,32.0084343739,0,0.0
潭山水库,0,0.0,,,119.0318617044,32.0118243425,0,0.0
大岘水库,0,0.0,,,118.696709,31.688438,0,0.0
大马路民国风情街,0,0.0,,,118.7444453739,32.0988708689,0,0.0
仙境花海,0,0.0,,,118.697028,31.683148,0,0.0
梅园新村历史文化街区,0,0.0,,,118.808406,32.048905,0,0.0
艾津稻园,0,100.0,,,119.008016005,32.3880020498,0,0.0
南京森林大世界,0,42.0,,,118.504829,31.973311,0,0.0
青山茶场,0,0.0,,,119.0715514469,31.331532516,0,0.0
不老村·兔布洛探险乐园,0,0.0,,,118.619775,32.097749,0,0.0
蓝卉庄园,0,0.0,,,118.678475,31.84208,0,0.0
亲水圆环景观桥,0,0.0,,,118.755882,32.115731,0,0.0
炮炮兵探险学院（钟山风景区店）,0,0.0,,,118.838992,32.052049,0,0.0
神兽羊驼主题馆（弘阳广场店）,0,0.0,,,118.73207,32.142857,0,0.0
华昌珍宝博物馆,0,0.0,,,119.016822,32.08888,0,0.0
陵园路,0,0.0,,,118.8459971741,32.0494188825,0,0.0
西岗果牧场,0,0.0,,,118.9833194306,32.0876395809,0,0.0
姚坊门遗址公园,0,0.0,,,118.8856601471,32.1106652451,0,0.0
明后湖黄册库遗址展馆,0,0.0,,,118.7996723206,32.0844370722,0,0.0
莉湖公园,0,90.0,,,118.848352,32.326147,0,0.0
外秦淮河水利风景区,0,0.0,,,118.740717,32.079815,0,0.0
明外郭高桥门公园,0,0.0,,,118.8568558357,31.9997800941,0,0.0
狮子山公园,0,0.0,,,118.7846758446,31.776196761,0,0.0
李巷抗日战争收藏馆,0,0.0,,,119.1480819489,31.5286940907,0,0.0
Oasis艺术空间,0,0.0,,,118.7881583016,32.0476263648,0,0.0
响堂桃源谷,0,100.0,,,118.587573,32.086493,0,0.0
永宁知青故里,0,0.0,,,118.567922,32.14012,0,0.0
渡江胜利公园,0,0.0,,,118.968418,32.198666,0,0.0
时仓,0,0.0,,,119.0188578252,32.0812125448,0,0.0
问象艺术空间,0,0.0,,,118.7583276014,32.0616670612,0,0.0
大隐古食代·市井,0,0.0,,,118.797964,32.028595,0,0.0
南京十朝历史文化陈列馆,0,0.0,,,118.8497236008,32.0502525538,0,0.0
Jhin Arcade,0,0.0,,,118.7791379301,32.0433126122,0,0.0
时光艺谷,0,0.0,,,119.0092750724,32.0769613831,0,0.0
浅山休闲公园,0,60.0,,,118.6536479559,32.0961169181,0,0.0
高淳淳青茶园,0,0.0,,,119.063781,31.357033,0,0.0
颐和路历史文化街区11片区,0,0.0,,,118.7761776953,32.0665172216,0,0.0
可口可乐品牌馆,0,0.0,,,119.0192059987,32.0815490181,0,0.0
江苏省文化馆,0,0.0,,,118.7909775796,32.0434605168,0,0.0
钟山国际体育公园,0,0.0,,,118.8170028464,31.9858812007,0,0.0
生态湿地,0,0.0,,,118.8440843108,32.049162705,0,0.0
高淳陶瓷博物馆,0,100.0,,,118.9475850171,31.3404546794,0,0.0
方山风景区-方山地质公园,0,0.0,,,118.889554255,31.9090738055,0,0.0
鱼龙巷创意街区,0,0.0,,,118.7849707135,32.0315345812,0,0.0
两家山公园,0,0.0,,,118.897944,31.990684,0,0.0
江南贡院明远楼甬道砖砌地面遗存(道同年间),0,0.0,,,118.7968374588,32.0276615351,0,0.0
南京宝龙艺术中心,0,0.0,,,118.7760294359,32.0664944399,0,0.0
棋文馆,0,0.0,,,118.7703704856,32.0388623165,0,0.0
江苏省现代艺术馆(江宁),0,0.0,,,118.804384,31.933104,0,0.0
初宁陵石刻,0,40.0,,,118.9335482133,32.0687170712,0,0.0
薛岳旧居,0,0.0,,,118.7773152389,32.0697328724,0,0.0
石湫影视基地,0,100.0,,,118.906114352,31.6644124423,0,0.0
泰山寺,0,100.0,,,118.7157559006,32.1498506612,0,0.0
六合区图书馆,0,0.0,,,118.8414381553,32.3348903444,0,0.0
绿博园沙滩,0,0.0,,,118.7203654039,32.0306037648,0,0.0
五色红女性艺术展,0,0.0,,,118.7317686786,32.004327011,0,0.0
高淳县图书馆,0,0.0,,,118.8948042471,31.3253331475,0,0.0
江宁区图书馆(九龙湖阅读分中心),0,0.0,,,118.8172348689,31.9174195,0,0.0
江宁区图书馆(大里阅读分中心),0,0.0,,,118.8858980204,32.0049375778,0,0.0
金陵图书馆,0,0.0,,,118.724142,32.018404,0,0.0
凤凰美术馆,0,0.0,,,118.788965,32.075238,0,0.0
江豚书屋,0,0.0,,,118.7410188418,32.0965992499,0,0.0
南京市文化艺术交流中心,0,0.0,,,118.8046617189,32.0407604185,0,0.0
六合图书馆,0,0.0,,,118.8526209169,32.3555300001,0,0.0
江宁区图书馆,0,0.0,,,118.8500225338,31.9613552495,0,0.0
玄武区少年儿童图书馆,0,0.0,,,118.8035651514,32.057025192,0,0.0
南京江宁方山艺术营,0,0.0,,,118.8805204062,31.8870853135,0,0.0
泰亿步行街,0,0.0,,,118.7418690657,32.2202703916,0,0.0
长乐桥,0,0.0,,,119.072867,31.741809,0,0.0
刘伯承广场,0,100.0,,,118.7610446371,32.1000307153,0,0.0
佛手湖国际艺术会展中心,0,0.0,,,118.6510482998,32.1198700259,0,0.0
江苏省森林公园,0,0.0,,,118.7719471733,31.9263585667,0,0.0
东门台阶遗址,0,0.0,,,118.850221,32.052397,0,0.0
圆觉宗诺那师佛纪念馆,0,0.0,,,118.801748,32.079608,0,0.0
极乐寺,0,0.0,,,118.626943049,32.0854397416,0,0.0
范旭东广场,0,0.0,,,118.7502033305,32.2380029909,0,0.0
栖霞区图书馆,0,0.0,,,118.8891799033,32.1340441396,0,0.0
鼓楼景区,0,0.0,,,118.773747239,32.065853357,0,0.0
苏南反顽战役纪念馆,0,0.0,,,119.179825,31.552228,0,0.0
笑场,0,0.0,,,118.7896721131,32.0795056461,0,0.0
中华书局(南京分店旧址),0,0.0,,,118.799163,32.041613,0,0.0
Monster Lure怪物路亚俱乐部,0,0.0,,,119.0316589355,32.0008155387,0,0.0
蒲公英书馆,0,0.0,,,118.7148736111,32.1677996551,0,0.0
聆泉福音,0,0.0,,,118.4721500456,31.9426968054,0,0.0
农民画艺术中心,0,0.0,,,118.9235065339,32.5131688965,0,0.0
青柠泡泡艺术空间,0,0.0,,,118.7787591807,32.0433648353,0,0.0
南京市文化馆,0,0.0,,,118.7947143212,32.0508495844,0,0.0
上秦淮国际文化交流中心,0,0.0,,,118.8513487036,31.876890504,0,0.0
新图书馆,0,0.0,,,118.8630822645,32.03126684,0,0.0
FOUR ART艺术中心,0,0.0,,,118.7150446118,32.0073958235,0,0.0
三江图书馆,0,80.0,,,118.7589793707,31.9652496365,0,0.0
原国民政府旧址,0,0.0,,,118.8279157026,32.045434973,0,0.0
金陵小石头文化,0,0.0,,,118.7274658885,32.1090004508,0,0.0
科学历史文化中心,0,0.0,,,118.7470711705,32.0120868577,0,0.0
香水实验室Perfume Lab,0,0.0,,,118.7318578667,32.0045251397,0,0.0
大仙寺,0,80.0,,,118.8794515907,32.0263401844,0,0.0
邓愈墓,0,0.0,,,118.7746546365,32.0008870432,0,0.0
康博睦邻书房,0,0.0,,,118.8343545026,31.9056769139,0,0.0
追光物语,0,0.0,,,118.7318598785,32.0045171153,0,0.0
溧水县图书馆,0,0.0,,,119.028012669,31.6540174607,0,0.0
励志社旧址,0,0.0,,,118.818347,32.046871,0,0.0
九龙湖,0,0.0,,,118.5283670076,32.094267236,0,0.0
大戏院电影博物馆,0,0.0,,,118.7948567733,32.027288816,0,0.0
古火山口,0,0.0,,,119.0002824573,32.3164492615,0,0.0
小西湖景区,0,100.0,,,118.793116444,32.0223406531,0,0.0
黑马世界漫画博物馆,0,0.0,,,119.0109773125,32.0809133934,0,0.0
石景山公园,0,0.0,,,118.8195167958,32.1029488731,0,0.0
蒲塘桥,0,0.0,,,119.000303,31.566366,0,0.0
牛首山风景区-金陵博物馆,0,80.0,,,118.7479685469,31.9175535732,0,0.0
金陵印象老字号博览馆,0,0.0,,,118.8157169453,32.079618282,0,0.0
沙滩公园,0,0.0,,,118.6961241508,32.0747124212,0,0.0
浦口铁路英式仓库群,0,0.0,,,118.7329816071,32.1090483252,0,0.0
科普馆&水母宫,0,0.0,,,118.9763277154,32.4984529314,0,0.0
赛梦微缩世界,0,100.0,,,119.0227519821,32.0855726331,0,0.0
百家湖,0,100.0,,,118.8280515425,31.9370268769,0,0.0
菜塘田园-儿童科技馆,0,0.0,,,118.7290210434,31.8109131739,0,0.0
河长制主题公园,0,0.0,,,118.8721669228,32.1120178154,0,0.0
兰溪公园,0,0.0,,,118.6106248252,32.0565110071,0,0.0
上国安寺,0,0.0,,,118.7311718232,31.777505992,0,0.0
江苏体育陈列馆,0,0.0,,,118.778051,32.055106,0,0.0
乙观艺术中心,0,0.0,,,118.7871254649,31.9788128637,0,0.0
台湾风情街,0,0.0,,,118.4709166288,31.9450945856,0,0.0
如意湖风景区,0,0.0,,,118.8337392061,31.7987992986,0,0.0
宝塔公园,0,0.0,,,119.0295518427,31.666006855,0,0.0
六合小天池,0,60.0,,,119.013959,32.336384,0,0.0
幕燕光影夜公园,0,0.0,,,118.7983906483,32.1358353302,0,0.0
丹凤街夜市,0,0.0,,,118.793906421,32.0586165266,0,0.0
纳科汽车创意园,0,0.0,,,118.855242,31.935523,0,0.0
三界村,0,0.0,,,119.016693,31.859851,0,0.0
湖熟清真寺,0,0.0,,,118.989752,31.867538,0,0.0
陡门口村,0,0.0,,,118.942672,31.819179,0,0.0
上江考棚,0,0.0,,,118.793294,32.017388,0,0.0
FUNism spaceFUNism space,0,0.0,,,118.855581,32.047308,0,0.0
雨花剧院,0,0.0,,,118.784245,32.010485,0,0.0
太平天国,0,0.0,,,118.756748,32.087374,0,0.0
山湖水库,0,0.0,,,118.777516201,32.4903644482,0,0.0
秀山,0,0.0,,,118.9865248542,31.292037936,0,0.0
南京城墙,0,0.0,,,118.788147,32.019113,0,0.0
国立中央政治大学门楼,0,0.0,,,118.78373,32.038447,0,0.0
连山,0,0.0,,,119.0212942181,32.0694237243,0,0.0
棉花堤,0,0.0,,,118.7132,32.008923,0,0.0
南京近代建筑博物馆,0,0.0,,,118.8005836272,32.0516713415,0,0.0
江宁东山步行街,0,0.0,,,118.8518176621,31.9588000001,0,0.0
荆山竹海,0,0.0,,,119.147253,31.447417,0,0.0
金鸡文化园,0,0.0,,,118.520543,32.048026,0,0.0
南京博物院-艺术馆,0,0.0,,,118.830942,32.046643,0,0.0
玉泉寺,0,0.0,,,118.972681,31.274872,0,0.0
陈卞村1号灯塔观景台,0,0.0,,,118.95489,31.550534,0,0.0
垠坤创意中央科技文化园,0,0.0,,,118.7918620602,32.0939405978,0,0.0
南京城墙富贵山段,0,0.0,,,118.8272805705,32.0632880512,0,0.0
永寿坊文化商业街区,0,0.0,,,119.0265979064,31.6664312808,0,0.0
秦淮·戏院里,0,100.0,,,118.7979384566,32.0282621392,0,0.0
假山瀑布,0,0.0,,,118.7971342346,32.0775971507,0,0.0
紫东国际创意园,0,0.0,,,118.9192879486,32.085488312,0,0.0
紫东创意园区,0,0.0,,,118.919305,32.085457,0,0.0
遇园(溧水),0,0.0,,,119.0399174544,31.5720771413,0,0.0
南京国家广告产业园,0,0.0,,,118.7417856599,31.9879094698,0,0.0
南京河西南京眼旅游区,0,0.0,,,118.7150053347,32.0071927244,0,0.0
江苏省民防教育体验馆,0,0.0,,,118.7287657182,32.0277270628,0,0.0
石林大公园,0,0.0,,,118.6651149796,31.9357375357,0,0.0
南京美院,0,0.0,,,118.7880867425,32.0227293853,0,0.0
风铃塔,0,0.0,,,118.758329117,31.9075769469,0,0.0
言和路健康主题公园,0,0.0,,,118.8190153122,32.1073050742,0,0.0
511公园,0,0.0,,,118.8136730132,32.0425979261,0,0.0
九乡河生态公园,0,0.0,,,118.9545943153,32.1271614056,0,0.0
宁波园,0,0.0,,,118.7184333142,32.0265304557,0,0.0
望鲸广场,0,0.0,,,118.757233,32.06482,0,0.0
朝晖园,0,0.0,,,118.7173800269,32.0264909336,0,0.0
MIX活力特区体育公园,0,0.0,,,118.9116348384,32.0407725084,0,0.0
胜太广场,0,0.0,,,118.8145607493,31.9493164621,0,0.0
郁金香花园,0,0.0,,,118.7083119954,32.0262662974,0,0.0
夹江之窗,0,0.0,,,118.7125187883,32.0008694508,0,0.0
文渊广场,0,0.0,,,118.8317832915,32.0457636281,0,0.0
锦庆里,0,0.0,,,118.7592860482,32.0925429461,0,0.0
磨盘街,0,0.0,,,118.7842822856,32.0220612278,0,0.0
莲池海会,0,0.0,,,118.7849372882,32.0177750609,0,0.0
课耕草堂,0,0.0,,,118.7807006246,32.0225035444,0,0.0
秀域街区,0,0.0,,,118.7943033344,31.9505787463,0,0.0
金陵盆景园,0,94.0,,,118.8016906367,32.0836163343,0,0.0
月季园,0,0.0,,,118.8018268737,32.0764523158,0,0.0
紫金山森林科普馆,0,0.0,,,118.8430931865,32.0507103123,0,0.0
江浦公园,0,0.0,,,118.62871933,32.0678730866,0,0.0
可口可乐博物馆,0,0.0,,,118.7145524407,32.1781025209,0,0.0
南京国际博览中心5号馆,0,0.0,,,118.7216879007,31.9997262277,0,0.0
移花宫,0,0.0,,,118.806706675,31.9949170994,0,0.0
高新区会展中心,0,0.0,,,118.7026661858,32.1928554841,0,0.0
紫金公园,0,0.0,,,118.889036327,32.045412394,0,0.0
桃湖公园,0,0.0,,,118.7412413669,32.2052872119,0,0.0
南京滨江商务区规划展览馆,0,0.0,,,118.7437486872,32.1001572328,0,0.0
大象美术馆,0,0.0,,,118.7650515248,32.0686117284,0,0.0
青宁公园,0,0.0,,,118.9020321194,31.9152927779,0,0.0
南京空港国际博览中心,0,0.0,,,118.9939666541,31.7381022841,0,0.0
三山矶生态公园1期,0,0.0,,,118.6143047796,31.9276120057,0,0.0
吴毅艺术馆,0,0.0,,,118.7933733849,32.0192084135,0,0.0
状元坊公园,0,0.0,,,119.0280267673,31.6595147187,0,0.0
傅尧成旧居,0,0.0,,,118.7916735832,32.0215213937,0,0.0
南京国际友谊公园,0,0.0,,,118.7070783592,31.9815262235,0,0.0
芥墨艺术馆,0,0.0,,,118.7923215864,32.0938075006,0,0.0
绿地广场,0,0.0,,,118.7894567379,32.065364663,0,0.0
滨水绿地公园,0,0.0,,,118.8028688776,31.9631821,0,0.0
失恋博物馆(宝龙店),0,0.0,,,118.8794020542,31.3471042361,0,0.0
南京国际博览中心3馆,0,0.0,,,118.7241044448,32.0008696298,0,0.0
滨江新城公园,0,0.0,,,118.5964725181,31.8313608882,0,0.0
浦口凤凰山公园,0,0.0,,,118.6288516696,32.0679001523,0,0.0
石羊公园,0,0.0,,,118.8636700742,31.9697064921,0,0.0
桃李园,0,0.0,,,118.8015075762,32.0626925878,0,0.0
凤岭公园,0,0.0,,,118.8810803445,31.3351877718,0,0.0
太平山公园,0,90.0,,,118.8795611018,32.1352130151,0,0.0
凤凰广场,0,0.0,,,118.8263658455,31.9419336558,0,0.0
泥马巷5号民国建筑,0,0.0,,,118.7877196999,32.0348895956,0,0.0
青奥文化体育公园,0,0.0,,,118.7142346128,32.0049802784,0,0.0
墨凡剧本杀沉浸式体验馆,0,80.0,,,118.792825,32.045393,0,0.0
南京国际博览中心,0,0.0,,,118.721976,31.998833,0,0.0
秦淮区图书馆,0,0.0,,,118.7939570983,32.0239233063,0,0.0
逸空间画廊,0,0.0,,,118.7609518317,32.0494030074,0,0.0
竹山公园,0,0.0,,,118.8483938191,31.9539183495,0,0.0
溧水城隍庙文化街区,0,82.0,,,119.044665,31.629633,0,0.0
南京江心洲长江大桥,0,0.0,,,118.63644,32.033539,0,0.0
熊斌旧居,0,0.0,,,118.776757,32.07033,0,0.0
萧宏石刻公园,0,0.0,,,118.9273618604,32.0922528338,0,0.0
周氏宗祠,0,0.0,,,118.8319244019,31.2666297921,0,0.0
钱家渡,0,0.0,,,118.9071740251,31.8069651127,0,0.0
西干长巷公园,0,0.0,,,118.7857179015,32.0177902587,0,0.0
百步坡4号民国建筑(原叶楚伧寓所),0,0.0,,,118.7789663615,32.0561655681,0,0.0
太平天国建筑,0,0.0,,,118.7889629154,32.0284923114,0,0.0
育群中学旧址,0,0.0,,,118.790257,32.025083,0,0.0
高岗里古建筑,0,0.0,,,118.7821878446,32.0207293456,0,0.0
明中山王陵园,0,20.0,,,118.831406,32.080533,0,0.0
灵岩山市级森林公园,0,0.0,,,118.8902646225,32.2991391982,0,0.0
翠屏山公园,0,0.0,,,118.7922196145,31.9344862527,0,0.0
梅园中共代表团办公原址,0,0.0,,,118.808547,32.048853,0,0.0
原金九寓所,0,0.0,,,118.8056594054,32.0386620915,0,0.0
杨家圩文化公园,0,0.0,,,118.8413553772,31.9454284978,0,0.0
李鸿章祠堂,0,0.0,,,118.804893,32.042737,0,0.0
江北影视基地,0,0.0,,,118.725439634,32.1789357735,0,0.0
民居群钞库街河房,0,0.0,,,118.7952852969,32.0247089716,0,0.0
东箭道夜巷,0,100.0,,,118.8052867515,32.0500567855,0,0.0
丝兰湖公园,0,0.0,,,118.5557827633,31.9720173228,0,0.0
畔池园,0,0.0,,,118.8787003486,31.3273812916,0,0.0
奥体东广场,0,0.0,,,118.7345827458,32.0123114544,0,0.0
天目路民国时期建筑风貌区,0,0.0,,,118.776725,32.064788,0,0.0
米菲的森林,0,0.0,,,118.7153672751,32.0271153512,0,0.0
金地体育公园,0,0.0,,,118.663852976,31.9105900946,0,0.0
东华湖,0,0.0,,,118.8267961694,32.0429007215,0,0.0
天界古寺,0,0.0,,,118.7722630197,32.0091746653,0,0.0
大石湖生态旅游度假区,0,0.0,,,118.7582073037,31.9335977361,0,0.0
神山湖风景区,0,0.0,,,119.0365500507,31.5666684663,0,0.0
溧水体育公园,0,0.0,,,119.0451038955,31.6410037389,0,0.0
长乐公园,0,0.0,,,118.7952061473,32.0229819807,0,0.0
东华门遗址广场,0,92.0,,,118.828147,32.04434,0,0.0
虹彩园艺中心,0,0.0,,,118.818258,32.181957,0,0.0
河西中央公园,0,0.0,,,118.7310317983,32.0015322697,0,0.0
杜圩城市生态湿地公园,0,0.0,,,118.730615989,32.2524105436,0,0.0
宋墅石刻,0,0.0,,,118.9156614674,31.9391881266,0,0.0
李公祠,0,0.0,,,118.8048465384,32.0427022264,0,0.0
康业里游园,0,0.0,,,118.8117929792,32.0120251728,0,0.0
宋晟墓,0,0.0,,,118.775796,32.006493,0,0.0
南苑兴达广场,0,0.0,,,118.7471654562,32.0238512134,0,0.0
南艺后街a区,0,0.0,,,118.7572135835,32.0660199289,0,0.0
西流湾公园,0,0.0,,,118.779104256,32.0764945331,0,0.0
大行宫市民广场,0,100.0,,,118.8032729555,32.0481180109,0,0.0
观音殿小镇工坊,0,0.0,,,118.7187249431,31.81630066,0,0.0
求雨山文化公园,0,0.0,,,118.6248048931,32.0614130762,0,0.0
滁河湾湿地公园,0,0.0,,,118.8503383253,32.3311704411,0,0.0
花神湖,0,88.0,,,118.7935219074,31.9935602261,0,0.0
王府东苑文化广场,0,0.0,,,118.7944263423,32.0309687601,0,0.0
海洋生物馆,0,0.0,,,118.9783062695,32.4751005551,0,0.0
江苏省文化创意成果展示中心,0,0.0,,,118.7962821926,32.0125784325,0,0.0
西玉带河水系流域花园,0,0.0,,,118.8210890987,32.045531306,0,0.0
国家水利风景区National Water Conservancy Scenic Area,0,0.0,,,118.7761287976,32.0195152795,0,0.0
中日友好樱花园,0,0.0,,,118.8431106524,32.0695548658,0,0.0
马鞍农耕文化园,0,0.0,,,118.7990008574,32.5579570283,0,0.0
江苏南京长江新济洲国家湿地公园,0,0.0,,,118.5321540221,31.8506630148,0,0.0
秣陵关公园,0,80.0,,,118.842872,31.844111,0,0.0
赵村水库,0,0.0,,,118.8180825872,31.6752011026,0,0.0
萧氏墓石刻群,0,0.0,,,118.8635470955,32.1384907426,0,0.0
十月广场,0,0.0,,,118.9041072079,32.1386591528,0,0.0
紫东商业街,0,0.0,,,118.9096152232,32.0868242278,0,0.0
尧化门广场,0,0.0,,,118.8789401996,32.1156650428,0,0.0
六合区文化城,0,0.0,,,118.8430039423,32.3345956069,0,0.0
潘氏住宅,0,0.0,,,118.9350210576,31.9878857225,0,0.0
